user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,search_term,geometry,state_name,census_region
x2334113509,x1466149748281380865,2021-12-01T20:58:34Z,HISWOKENESS,Y’all remember when ihop switched their branding for a day to “iHOB” mfs #onhere lost it.. just shows you the level of programming we on,Twitter for iPhone,136,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,onhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/50d31ecdad5158be.json,Greer,"Greer, SC",city,United States,US,"NA NA","NA NA",-82.34636 -82.132484 -82.132484 -82.34636 34.84665 34.84665 35.030719 35.030719,https://twitter.com/HISWOKENESS/status/1466149748281380865,8 5 ｓｈｅｍ,307 West Main Street 864,hovenger. 🟣Host. #SpacesforInnovation SZN UNO Marketing my ass off. 📲founder of @displayMRKTNG 🧧 https://t.co/FUeDDPnENV,https://t.co/YRdR3e6FcS,FALSE,1520,1470,161,58423,45315,2014-02-08T21:35:52Z,FALSE,https://t.co/YRdR3e6FcS,https://www.liinks.co/shemuel.xyz,NA,https://pbs.twimg.com/profile_banners/2334113509/1611471848,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1457040678639243268/jQVVbTt4_normal.jpg,y'all,"c(-82.239422, 34.9386845)",South Carolina,South
x285913858,x1466149746918133760,2021-12-01T20:58:34Z,MssKayy,Did y’all know that the name “Frederick” is like 5 names in one ?,Twitter for iPhone,65,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json,San Diego,"San Diego, CA",city,United States,US,"NA NA","NA NA",-117.282538 -116.9274403 -116.9274403 -117.282538 32.53962 32.53962 33.0804044 33.0804044,https://twitter.com/MssKayy/status/1466149746918133760,K,"San Diego, CA",Add a bio to your profile.,https://t.co/PWPyzK8VWM,FALSE,4204,1740,5,34890,8851,2011-04-22T01:04:36Z,FALSE,https://t.co/PWPyzK8VWM,https://www.instagram.com/msskayy,NA,https://pbs.twimg.com/profile_banners/285913858/1638235717,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1463376429320585218/LcJ-GcOG_normal.jpg,y'all,"c(-117.10498915, 32.8100122)",California,West
x1262859893930971136,x1466149723602141186,2021-12-01T20:58:28Z,anguhleenuh,i want y’all to be free’d from this lie right here. https://t.co/DGKLPkI5sS,Twitter for iPhone,51,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,twitter.com/hann_xc/status…,https://t.co/DGKLPkI5sS,https://twitter.com/hann_xc/status/1466074076645101580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1466074076645101580,Spotify &gt;&gt;&gt; Apple Music argue with ur mum x,2021-12-01T15:57:52Z,Twitter for iPhone,224,52,x447870023,Hann_xc,♡ H,4422,1994,18710,"England, United Kingdom",mufc,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/18810aa5b43e76c7.json,Dallas,"Dallas, TX",city,United States,US,"NA NA","NA NA",-96.977527 -96.54598 -96.54598 -96.977527 32.620678 32.620678 33.019039 33.019039,https://twitter.com/anguhleenuh/status/1466149723602141186,keji na bari 🇸🇸,DDDALLAS - baton rougeeee,southern university a&m college 🐆 | ig: @angelinaernestoo,NA,FALSE,2991,2704,1,13765,25540,2020-05-19T21:37:24Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1262859893930971136/1633214512,NA,http://pbs.twimg.com/profile_images/1456006083164590086/mjnEwHo8_normal.jpg,y'all,"c(-96.7617535, 32.8198585)",Texas,South
x943382813339987968,x1466149661555712007,2021-12-01T20:58:13Z,fwftx,This blows our minds… thank y’all so much! #Spotify #Wrapped https://t.co/wz41IJGgN4,Twitter for iPhone,60,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,Spotify Wrapped,NA,NA,NA,NA,http://pbs.twimg.com/media/FFjPTC_XsBMoPo4.jpg,https://t.co/wz41IJGgN4,https://twitter.com/fwftx/status/1466149661555712007/photo/1,photo,http://pbs.twimg.com/media/FFjPTC_XsBMoPo4.jpg,https://t.co/wz41IJGgN4,https://twitter.com/fwftx/status/1466149661555712007/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/4cb67de7b2f50d0a.json,La Grange,"La Grange, TX",city,United States,US,"NA NA","NA NA",-96.901163 -96.8546422 -96.8546422 -96.901163 29.8832 29.8832 29.932747 29.932747,https://twitter.com/fwftx/status/1466149661555712007,Familiar With Failure,"La Grange, TX",Inevitable,https://t.co/O6P1GYBZPv,FALSE,184,460,1,645,536,2017-12-20T07:29:24Z,FALSE,https://t.co/O6P1GYBZPv,https://linktr.ee/fwftx,NA,https://pbs.twimg.com/profile_banners/943382813339987968/1633805945,NA,http://pbs.twimg.com/profile_images/1446913119079608322/niJ1yPBB_normal.jpg,y'all,"c(-96.8779026, 29.9079735)",Texas,South
x842326728,x1466149649841070088,2021-12-01T20:58:10Z,hiiralph,This y’all Spotify? https://t.co/A6IDdYhUKA,Twitter for iPhone,19,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,twitter.com/rajat_suresh/s…,https://t.co/A6IDdYhUKA,https://twitter.com/rajat_suresh/status/1466097715381784586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1466097715381784586,why does spotify talk like this? https://t.co/YOm1BUwMKs,2021-12-01T17:31:48Z,Twitter Web App,39083,3619,x82085511,rajat_suresh,Rajat Suresh,57914,1577,2842,New York,name is rajat,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/65200dae56245cf0.json,Bunker Hill Village,"Bunker Hill Village, TX",city,United States,US,"NA NA","NA NA",-95.546643 -95.5222565 -95.5222565 -95.546643 29.751129 29.751129 29.776921 29.776921,https://twitter.com/hiiralph/status/1466149649841070088,rafa,"houston, texas",NA,https://t.co/FTpMrZVS1e,FALSE,110,286,2,8332,23421,2012-09-23T20:13:17Z,FALSE,https://t.co/FTpMrZVS1e,http://Instagram.com/hiiralph,NA,https://pbs.twimg.com/profile_banners/842326728/1625320568,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1457822665348091911/xtqGxkuD_normal.jpg,y'all,"c(-95.53444975, 29.764025)",Texas,South
x4093070416,x1466149529024094211,2021-12-01T20:57:42Z,dayaamian,yea like idk y’all be pissed 😂😂😂😂😂😂😂😂😂😂,Twitter for iPhone,39,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/7068dd9474ab6973.json,Toledo,"Toledo, OH",city,United States,US,"NA NA","NA NA",-83.694776 -83.454566 -83.454566 -83.694776 41.580375 41.580375 41.732806 41.732806,https://twitter.com/dayaamian/status/1466149529024094211,💓💓,based in ohio,"444 what’s for me, will be",https://t.co/SQZxj5VjTW,FALSE,9978,5492,5,94834,48081,2015-11-01T22:29:35Z,FALSE,https://t.co/SQZxj5VjTW,https://youtube.com/channel/UC3QXafQ3QpOKv2xFa8eGI1Q,NA,https://pbs.twimg.com/profile_banners/4093070416/1637898219,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1464046310399660038/jus5G8_u_normal.jpg,y'all,"c(-83.574671, 41.6565905)",Ohio,Midwest
x3269826236,x1466149227298537491,2021-12-01T20:56:30Z,AdrianCamaril10,Bro I’m telling y’all god keeps answering as long as you talk to him blessings on blessings ❤️,Twitter for iPhone,94,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/cc480e2388809012.json,Deer Park,"Deer Park, TX",city,United States,US,"NA NA","NA NA",-95.1469095 -95.0871185 -95.0871185 -95.1469095 29.6636706 29.6636706 29.751499 29.751499,https://twitter.com/AdrianCamaril10/status/1466149227298537491,Adrian🥀,NA,hi I’m 6’5,NA,FALSE,127,364,0,5278,7613,2015-07-06T08:26:38Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/3269826236/1636427177,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1451388070847295502/VwMPN39__normal.jpg,y'all,"c(-95.117014, 29.7075848)",Texas,South
x1116726470,x1466149063221514240,2021-12-01T20:55:51Z,jimmychangah,"44,171 minutes for 2021..more than 90% of y'all https://t.co/yR8U74AmEB",Twitter for Android,47,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/media/FFjOza2XoAMEmt-.jpg,https://t.co/yR8U74AmEB,https://twitter.com/jimmychangah/status/1466149063221514240/photo/1,photo,http://pbs.twimg.com/media/FFjOza2XoAMEmt-.jpg,https://t.co/yR8U74AmEB,https://twitter.com/jimmychangah/status/1466149063221514240/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/9a974dfc8efb32a0.json,Kansas City,"Kansas City, MO",city,United States,US,"NA NA","NA NA",-94.733122 -94.3854414 -94.3854414 -94.733122 38.868002 38.868002 39.332095 39.332095,https://twitter.com/jimmychangah/status/1466149063221514240,Jim Birmingham,Madison,"SCIENCE ADVOCATE 💉 / 
Beer / Bourbon / Golf  AZ-KS-WI",NA,FALSE,88,511,1,1393,5153,2013-01-24T12:58:54Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1116726470/1633116830,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1164930583052636160/9HLcTt6A_normal.jpg,y'all,"c(-94.5592817, 39.1000485)",Missouri,Midwest
x24743128,x1466148967960526848,2021-12-01T20:55:28Z,chunkypnutbutta,Y’all don’t put Skittles in your belly button and make bae eat them????,Twitter for iPhone,71,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Boston,"Boston, MA",city,United States,US,"NA NA","NA NA",-71.191421 -70.986004 -70.986004 -71.191421 42.227797 42.227797 42.399542 42.399542,https://twitter.com/chunkypnutbutta/status/1466148967960526848,🍯🥜🧈🍯,the bean,why you wanna play so bad?,https://t.co/ni3jRoEzN5,FALSE,911,628,24,56415,11408,2009-03-16T18:36:46Z,FALSE,https://t.co/ni3jRoEzN5,http://instagram.com/chunkypnutbuttaa,NA,https://pbs.twimg.com/profile_banners/24743128/1637907392,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/1463946393966592012/BG3sneTi_normal.jpg,y'all,"c(-71.0887125, 42.3136695)",Massachusetts,Northeast
x1262136278562283528,x1466148934099816448,2021-12-01T20:55:20Z,TheGamingAdvisr,"NGL I’ll have #StreamBeats playing while I work b/c it helps me focus 😅 
.
.
My other top genres were Metalcore and Emo 🤘🏽
.
.
What about y’all? 🧐
.
#SpotifyWrapped #BigSynFamily https://t.co/dTVvPqfFgt",Twitter for iPhone,178,NA,NA,NA,FALSE,FALSE,2,0,NA,NA,StreamBeats SpotifyWrapped BigSynFamily,NA,NA,NA,NA,http://pbs.twimg.com/media/FFjOrYSWUAYQb9h.jpg,https://t.co/dTVvPqfFgt,https://twitter.com/TheGamingAdvisr/status/1466148934099816448/photo/1,photo,http://pbs.twimg.com/media/FFjOrYSWUAYQb9h.jpg,https://t.co/dTVvPqfFgt,https://twitter.com/TheGamingAdvisr/status/1466148934099816448/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,San Antonio,"San Antonio, TX",city,United States,US,"NA NA","NA NA",-98.778559 -98.302744 -98.302744 -98.778559 29.141956 29.141956 29.693046 29.693046,https://twitter.com/TheGamingAdvisr/status/1466148934099816448,The Gaming Advisor,"San Antonio, TX",Husband | Father | College/Career Advisor | #ContentCreator | @shareonhover “Next Top Streamer” Top 16 Finalist ⭐️ #DisabledGamer #CollegeAdvice #CareerAdvice,https://t.co/Xjzhgx03w5,FALSE,563,610,1,3369,21447,2020-05-17T21:42:02Z,FALSE,https://t.co/Xjzhgx03w5,http://beacons.ai/thegamingadvisor,NA,https://pbs.twimg.com/profile_banners/1262136278562283528/1630034647,NA,http://pbs.twimg.com/profile_images/1453196424468996099/Adv0kOK5_normal.jpg,y'all,"c(-98.5406515, 29.417501)",Texas,South
