user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,search_term,geometry,state_name,census_region
x2383023648,x1466137908402954257,2021-12-01T20:11:31Z,MarilynBehrman,"It’s our annual Delta Theta Tau Holiday Boutique, offering new &amp; like-new holiday decorations &amp; gifts at garage sale prices &amp; baked goods. Sat., Dec. 4, 2021 in the Community Bldg at the Monroe Co Fairgrounds, 9am-3pm! 
5700 W Airport Rd, B’town. Proceeds benefit local charities. https://t.co/zFNOPlpaAZ",Twitter for iPhone,292,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/media/FFjEp_EWUAgDM-P.jpg,https://t.co/zFNOPlpaAZ,https://twitter.com/MarilynBehrman/status/1466137908402954257/photo/1,photo,http://pbs.twimg.com/media/FFjEp_EWUAgDM-P.jpg,https://t.co/zFNOPlpaAZ,https://twitter.com/MarilynBehrman/status/1466137908402954257/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/1010ecfa7d3a40f8.json,Indiana,"Indiana, USA",admin,United States,US,"NA NA","NA NA",-88.097892 -84.78458 -84.78458 -88.097892 37.771743 37.771743 41.761368 41.761368,https://twitter.com/MarilynBehrman/status/1466137908402954257,Marilyn Naden Behrman,"Bloomington, IN","Mom, Grandma, proud Hoosier Fan, Gardener, Original SNC Groupie, and Undergraduate Administrative Services Coordinator, The Media School at Indiana University",NA,FALSE,300,1427,3,1884,47555,2014-03-11T02:42:16Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/2383023648/1443299168,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/683241941513940992/NSqvOHWf_normal.jpg,"""garage sale""","c(-86.441236, 39.7665555)",Indiana,Midwest
x1233817672950919168,x1466082896762978306,2021-12-01T16:32:55Z,cloudycarrie,I found the most P E R F E C T fitting orange tag Levi’s at Garage Sale last night !!!!!,Twitter for iPhone,88,NA,NA,NA,FALSE,FALSE,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json,Colorado,"Colorado, USA",admin,United States,US,"NA NA","NA NA",-109.060257 -102.041524 -102.041524 -109.060257 36.992427 36.992427 41.003445 41.003445,https://twitter.com/cloudycarrie/status/1466082896762978306,⛓🦋,Colorado,“i’m restless; things are calling me away. my hair is being pulled by the stars again” ☁️✨♐︎ • ♋︎ • ♏︎✨☁️ •• tampa | colga | colorado springs ••,https://t.co/I5ynGNTz2f,FALSE,321,250,0,4974,8574,2020-02-29T18:14:00Z,FALSE,https://t.co/I5ynGNTz2f,https://allmylinks.com/carrielo,NA,https://pbs.twimg.com/profile_banners/1233817672950919168/1636710864,NA,http://pbs.twimg.com/profile_images/1464743494526722053/pslaKa9g_normal.jpg,"""garage sale""","c(-105.5508905, 38.997936)",Colorado,West
x523983053,x1466069190201204740,2021-12-01T15:38:27Z,R_DoroJr,Got my Mystery Hat/Autographed 8x10s from the White Sox Garage Sale... got Ricky Renteria and Nicky Delmonico 🤷🏽‍♂️ https://t.co/5Cz5cuuy38,Twitter for Android,115,NA,NA,NA,FALSE,FALSE,7,0,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/media/FFiGKLwXwAc34ZW.jpg,https://t.co/5Cz5cuuy38,https://twitter.com/R_DoroJr/status/1466069190201204740/photo/1,photo,http://pbs.twimg.com/media/FFiGKLwXwAc34ZW.jpg,https://t.co/5Cz5cuuy38,https://twitter.com/R_DoroJr/status/1466069190201204740/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json,Chicago,"Chicago, IL",city,United States,US,"NA NA","NA NA",-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669,https://twitter.com/R_DoroJr/status/1466069190201204740,Robb,NA,South Side boy... LFG WHITE SOX!,NA,FALSE,124,224,2,9085,15833,2012-03-14T03:54:21Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/523983053/1598064026,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1466073765662572557/YmQ6SU9a_normal.jpg,"""garage sale""","c(-87.732013, 41.83358445)",Illinois,Midwest
x1359824264036294657,x1465906082774229004,2021-12-01T04:50:20Z,thechub_b_w,Then it’s The Search &amp; Garage Sale,Twitter for iPhone,38,x1465906042311790596,x1359824264036294657,thechub_b_w,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/fee8047a46fbdfc8.json,Vinings,"Vinings, GA",city,United States,US,"NA NA","NA NA",-84.487242 -84.4542161 -84.4542161 -84.487242 33.841705 33.841705 33.8811 33.8811,https://twitter.com/thechub_b_w/status/1465906082774229004,Xmas Semen Chug Champ🇹🇹,Buff Bay,POGONOPHILE & Dad Bod Connoisseur. My hugs will make you melt.,https://t.co/xpEcxfFUMI,FALSE,1334,1503,2,62143,9271,2021-02-11T11:19:17Z,FALSE,https://t.co/xpEcxfFUMI,https://www.amazon.com/hz/wishlist/ls/2QIETQKWN0WCO?ref_=wl_share,NA,https://pbs.twimg.com/profile_banners/1359824264036294657/1638387035,NA,http://pbs.twimg.com/profile_images/1465598444505116672/bNA1gqIB_normal.jpg,"""garage sale""","c(-84.47072905, 33.8614025)",Georgia,South
x315098310,x1465430287588810755,2021-11-29T21:19:41Z,LAWeeklyArts,"Event Pick: LACE Garage Sale. With renovations soon, @welcometolace will be surfing for a bit. They’ll be programming off-site, but they need to lighten their stock of art, editions, books &amp; ephemera… 6522 Hollywood Blvd.; Wed-Sun, Dec 1-5; noon-6pm; free.https://t.co/UJ2RLtrbcb https://t.co/HAXouM9qkG",Twitter for iPhone,283,NA,NA,NA,FALSE,FALSE,9,3,NA,NA,NA,NA,laweekly.com/quality-time-a…,https://t.co/UJ2RLtrbcb,https://www.laweekly.com/quality-time-arts-calendar-november-24-december-1/,http://pbs.twimg.com/media/FFZBElVVgAcwJgr.jpg,https://t.co/HAXouM9qkG,https://twitter.com/LAWeeklyArts/status/1465430287588810755/photo/1,photo,http://pbs.twimg.com/media/FFZBElVVgAcwJgr.jpg,https://t.co/HAXouM9qkG,https://twitter.com/LAWeeklyArts/status/1465430287588810755/photo/1,NA,x45936631,welcometolace,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json,Los Angeles,"Los Angeles, CA",city,United States,US,"NA NA","NA NA",-118.668404 -118.155409 -118.155409 -118.668404 33.704538 33.704538 34.337041 34.337041,https://twitter.com/LAWeeklyArts/status/1465430287588810755,L.A. Weekly Arts & Culture,"Los Angeles, CA","@LAWeekly's Arts, Entertainment & Culture coverage. Follow for hand-picked events, features, reviews, interviews, news and happenings.",https://t.co/8H9rffJZF0,FALSE,13143,4236,400,16176,21038,2011-06-11T09:07:14Z,FALSE,https://t.co/8H9rffJZF0,https://www.laweekly.com/category/arts/,NA,https://pbs.twimg.com/profile_banners/315098310/1537844095,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1785712456/JR_scottrell100_normal.jpg,"""garage sale""","c(-118.4119065, 34.0207895)",California,West
x1465091234897276940,x1465099929030909953,2021-11-28T23:26:57Z,GoWestWalker,@lsutiger95 @garyvee I had a garage sale yesterday and sent some people home with good deals.  Put in some extra effort to wrestle &amp; squish a mattress into a woman's car for her grandson.,Twitter for Android,170,x1464665020663570446,x184650876,lsutiger95,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x184650876 x5768872,lsutiger95 garyvee,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/01966db443c4c238.json,Ocala,"Ocala, FL",city,United States,US,"NA NA","NA NA",-82.293902 -82.0278293 -82.0278293 -82.293902 28.962902 28.962902 29.277543 29.277543,https://twitter.com/GoWestWalker/status/1465099929030909953,Rohlley Walker,NA,I'm an animal called a human.  I do the best that I can every day.,NA,FALSE,7,68,0,2,3,2021-11-28T22:53:12Z,FALSE,NA,NA,NA,NA,NA,http://pbs.twimg.com/profile_images/1465091436123238405/dKBnR0M-_normal.jpg,"""garage sale""","c(-82.16086565, 29.1202225)",Florida,South
x130852019,x1465048762112520208,2021-11-28T20:03:38Z,tommylang1630,@hawkize @CycloneLarry69 Garage sale.,Twitter for iPhone,12,x1465048104453947398,x27267759,hawkize,FALSE,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x27267759 x1168018744804691968,hawkize CycloneLarry69,fr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/7f2ccddfad5840fb.json,Windsor Heights,"Windsor Heights, IA",city,United States,US,"NA NA","NA NA",-93.726919 -93.7035278 -93.7035278 -93.726919 41.5912854 41.5912854 41.614885 41.614885,https://twitter.com/tommylang1630/status/1465048762112520208,Tommy Lang,"Iowa City, IA",@KCJJ Program Director/@99pluskfmh morning guy. Host of @Hey_Lang and @tommyKFMH. @uiowa grad and Iowa City native. 👻/IG: tommylang1630.,https://t.co/WrME0NHYXs,FALSE,2404,2288,44,70068,45095,2010-04-08T14:31:07Z,FALSE,https://t.co/WrME0NHYXs,http://www.facebook.com/tommylang,NA,https://pbs.twimg.com/profile_banners/130852019/1628502502,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1463894659369943046/-AuxDhDH_normal.jpg,"""garage sale""","c(-93.7152234, 41.6030852)",Iowa,Midwest
x601647186,x1464709552876703746,2021-11-27T21:35:45Z,markcovino,@Liaxox I sold all of mine at my garage sale 5 years ago before I left VT 😞,Twitter for iPhone,67,x1464708967947407360,x24786731,Liaxox,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x24786731,Liaxox,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/013e811145e07117.json,Stockbridge,"Stockbridge, GA",city,United States,US,"NA NA","NA NA",-84.293073 -84.168228 -84.168228 -84.293073 33.4786562 33.4786562 33.5751093 33.5751093,https://twitter.com/markcovino/status/1464709552876703746,markcovino,NY/MI//VT/GA,"Director/Producer/DP: @bandcalleddeath 🎸 
Director/Producer: @TheCrestMovie 🏄‍♂️",https://t.co/Q53KZskNtq,FALSE,1325,1294,38,8532,19261,2012-06-07T04:54:37Z,FALSE,https://t.co/Q53KZskNtq,http://www.abandcalleddeath.com,NA,https://pbs.twimg.com/profile_banners/601647186/1622837746,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/517105684639277056/tq1xDZSp_normal.jpeg,"""garage sale""","c(-84.2306505, 33.52688275)",Georgia,South
x374130998,x1464579007085752320,2021-11-27T12:57:00Z,TylerChess,@firefoxsimpp I have no idea. Maybe parents who just want a “tablet” for their little kids. I recently sold my old iPad 2 at a garage sale. I was shocked haha,Twitter for iPhone,144,x1464576402821468161,x1189148284767690752,firefoxsimpp,FALSE,FALSE,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x1189148284767690752,firefoxsimpp,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json,Pennsylvania,"Pennsylvania, USA",admin,United States,US,"NA NA","NA NA",-80.519851 -74.689517 -74.689517 -80.519851 39.719801 39.719801 42.516072 42.516072,https://twitter.com/TylerChess/status/1464579007085752320,🎄 ɹǝןʎʇ 🦌,"Pittsburgh, PA",Former Model 3 owner. Now TSLA & RIVN investor.,NA,FALSE,481,226,7,46430,72849,2011-09-15T19:21:27Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/374130998/1636464885,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1466019085951582208/iDlYvEl0_normal.jpg,"""garage sale""","c(-77.604684, 41.1179365)",Pennsylvania,Northeast
x222334504,x1464499610357952515,2021-11-27T07:41:30Z,lisheyjohnson,"Garage Sale 8am-2pm 
EVERYTHING MUST GO; House for sale also.
4405 Yorkwood Dr, North Las Vegas, NV 89032 $460k
4bdrms,  2ba Huge lot
Everything must go......
🤗🏡🚘
Las Vegas Real Estate - Li' Shey Johnson - Realtor - S. 0192217
Coldwell Banker Premier Realty https://t.co/MT4j2eE7u2",Twitter for Android,257,NA,NA,NA,FALSE,FALSE,0,1,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/media/FFLyoQTUYAIFvxC.jpg,https://t.co/MT4j2eE7u2,https://twitter.com/lisheyjohnson/status/1464499610357952515/photo/1,photo,http://pbs.twimg.com/media/FFLyoQTUYAIFvxC.jpg,https://t.co/MT4j2eE7u2,https://twitter.com/lisheyjohnson/status/1464499610357952515/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/5c2b5e46ab891f07.json,Las Vegas,"Las Vegas, NV",city,United States,US,"NA NA","NA NA",-115.384091 -115.062159 -115.062159 -115.384091 36.129459 36.129459 36.336371 36.336371,https://twitter.com/lisheyjohnson/status/1464499610357952515,Li' Shey Johnson,Las Vegas,"Las Vegas Realtor @Coldwell Banker Premier Realty / Centennial Location 
Las Vegas Survivor-Route 91 Country Festival-",https://t.co/Y38TJKOUkD,FALSE,337,489,2,18355,10874,2010-12-03T03:22:37Z,FALSE,https://t.co/Y38TJKOUkD,http://redcarpetrealestates.com,NA,https://pbs.twimg.com/profile_banners/222334504/1605849259,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1394705965249794048/Nq8h88qd_normal.jpg,"""garage sale""","c(-115.223125, 36.232915)",Nevada,West
