user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,search_term,geometry,state_name,census_region
x1201646538709176321,x1469036826199482374,2021-12-09T20:10:47Z,Dr_AJknowsaword,@picturesofdives Is Pony Boy and Soda Pop in there?,Twitter for Android,34,x1468993594883198990,x1275204742923325442,picturesofdives,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x1275204742923325442,picturesofdives,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/d04cf2a772b88bba.json,Mishawaka,"Mishawaka, IN",city,United States,US,"NA NA","NA NA",-86.216235 -86.090052 -86.090052 -86.216235 41.621439 41.621439 41.727645 41.727645,https://twitter.com/Dr_AJknowsaword/status/1469036826199482374,A̶J̶ ̶S̶c̶h̶m̶i̶t̶z̶,"Mishawaka, IN","Los Angelino; Fan of Words, Walking, Place, Poetry, Pictures, & Prose;
Lecturer at IU South Bend, Review Reader for Great Lakes Review; All Tweets are mine.",NA,FALSE,187,200,3,9574,10020,2019-12-02T23:37:35Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1201646538709176321/1626395564,NA,http://pbs.twimg.com/profile_images/1411431650790150155/4kHrvNmE_normal.jpg,soda,"c(-86.1531435, 41.674542)",Indiana,Midwest
x180998690,x1469035375842639872,2021-12-09T20:05:01Z,gideonswake,At lunch and dedicate another 30 mins to creating a paint table (soda flat &amp; tape). Primed the TGaunts &amp; the Biovore. Tomorrow - WE BASECOAT *insert triumphant score* #hobbystreak Day 4 #paintingwarhammer #WarhammerCommunity https://t.co/sCkcLTU7aw,Twitter for Android,232,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,hobbystreak paintingwarhammer WarhammerCommunity,NA,NA,NA,NA,http://pbs.twimg.com/media/FGMP4zcVkAAT1IQ.jpg,https://t.co/sCkcLTU7aw,https://twitter.com/gideonswake/status/1469035375842639872/photo/1,photo,http://pbs.twimg.com/media/FGMP4zcVkAAT1IQ.jpg http://pbs.twimg.com/media/FGMP47tUYAE1VE7.jpg,https://t.co/sCkcLTU7aw https://t.co/sCkcLTU7aw,https://twitter.com/gideonswake/status/1469035375842639872/photo/1 https://twitter.com/gideonswake/status/1469035375842639872/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/7cb7440bcf83d464.json,Tempe,"Tempe, AZ",city,United States,US,"NA NA","NA NA",-111.979047 -111.877237 -111.877237 -111.979047 33.3199453 33.3199453 33.465823 33.465823,https://twitter.com/gideonswake/status/1469035375842639872,Tony Fuentes,"Tempe, AZ","Author, Part-Time Occultist, Miniature Painter & Sneaky Bastard",https://t.co/MHMCZH6VJF,FALSE,136,189,1,1744,3128,2010-08-21T01:11:45Z,FALSE,https://t.co/MHMCZH6VJF,https://gideonswake.com,NA,https://pbs.twimg.com/profile_banners/180998690/1518919332,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/995026434291728384/JxP-qXcF_normal.jpg,soda,"c(-111.928142, 33.39288415)",Arizona,West
x1135634450941972480,x1469034772857032717,2021-12-09T20:02:37Z,Zaid_Noj96,Can a #ramune soda company sponsor me please?,Twitter for iPhone,45,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,ramune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/dc62519fda13b4ec.json,Tampa,"Tampa, FL",city,United States,US,"NA NA","NA NA",-82.620093 -82.2652945 -82.2652945 -82.620093 27.821353 27.821353 28.171836 28.171836,https://twitter.com/Zaid_Noj96/status/1469034772857032717,Magic Wand Jon,"Tampa, FL",On a journey to find peace.,NA,FALSE,31,147,0,671,262,2019-06-03T19:48:46Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1135634450941972480/1638135558,NA,http://pbs.twimg.com/profile_images/1424748968370712582/qX_ERDXF_normal.jpg,soda,"c(-82.44269375, 27.9965945)",Florida,South
x191559575,x1469032511481290758,2021-12-09T19:53:38Z,cmblouin27,@CSharkOfficial Although technically a soda. It does pack 102 mg/16oz can. https://t.co/8JwuzlILg7,Twitter for Android,58,x1465717205333680134,x1271867888073412612,CSharkOfficial,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/media/FGMNSHrWQAAM3eq.jpg,https://t.co/8JwuzlILg7,https://twitter.com/cmblouin27/status/1469032511481290758/photo/1,photo,http://pbs.twimg.com/media/FGMNSHrWQAAM3eq.jpg,https://t.co/8JwuzlILg7,https://twitter.com/cmblouin27/status/1469032511481290758/photo/1,NA,x1271867888073412612,CSharkOfficial,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/33ff2516301663e7.json,West Springfield,"West Springfield, VA",city,United States,US,"NA NA","NA NA",-77.266126 -77.202928 -77.202928 -77.266126 38.755163 38.755163 38.821463 38.821463,https://twitter.com/cmblouin27/status/1469032511481290758,Calin M. Blouin,NA,NA,NA,FALSE,144,294,1,3992,81,2010-09-16T19:13:23Z,FALSE,NA,NA,NA,NA,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/2267196480/1338504459168_normal.jpg,soda,"c(-77.234527, 38.788313)",Virginia,South
x94152550,x1469027424209969156,2021-12-09T19:33:25Z,blackngoldyank,@GizmosSpace Soda,Twitter for Android,4,x1468619306397167618,x904501394,GizmosSpace,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x904501394,GizmosSpace,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/5e48afd17a5c49d3.json,Dormont,"Dormont, PA",city,United States,US,"NA NA","NA NA",-80.046503 -80.028685 -80.028685 -80.046503 40.3832942 40.3832942 40.4042166 40.4042166,https://twitter.com/blackngoldyank/status/1469027424209969156,Marc Anthony,"Pittsburgh, PA","Marc True Pittsburgh guy. Go Pens n Ben.  MMA👍 Comedy is the way!  Gotta laugh more!! Life sucks, why add to it?!?!
 CBD+🌲+🍄= 0 prescription drugs",NA,FALSE,50,259,4,6578,10943,2009-12-02T19:03:13Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/94152550/1593146403,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1444902799364526080/HSU6KVuM_normal.jpg,soda,"c(-80.037594, 40.3937554)",Pennsylvania,Northeast
x1427304857719951368,x1469026786344423435,2021-12-09T19:30:53Z,Matthew59294336,@AniTrendz Mine is probably words that bubble like a soda as the movie the top right,Twitter for iPhone,73,x1469026562934718470,x1063301852,AniTrendz,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x1063301852,AniTrendz,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/6e804acc5e0f5a5b.json,Sloatsburg,"Sloatsburg, NY",city,United States,US,"NA NA","NA NA",-74.211939 -74.173078 -74.173078 -74.211939 41.147774 41.147774 41.177866 41.177866,https://twitter.com/Matthew59294336/status/1469026786344423435,Matthew Lucas,NA,2nd account here due to me losing the password to old one I decided to use a new one since august,NA,FALSE,125,215,3,6120,2041,2021-08-16T16:23:17Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1427304857719951368/1629131091,NA,http://pbs.twimg.com/profile_images/1427311679625437186/-fzXVJ9Z_normal.jpg,soda,"c(-74.1925085, 41.16282)",New York,Northeast
x1417250419546394625,x1469025925085941765,2021-12-09T19:27:28Z,DavidAnthonyEm1,@GizmosSpace Soda,Twitter for Android,4,x1468619306397167618,x904501394,GizmosSpace,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x904501394,GizmosSpace,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/138181506c13418e.json,Syracuse,"Syracuse, NY",city,United States,US,"NA NA","NA NA",-76.204476 -76.053145 -76.053145 -76.204476 42.984026 42.984026 43.121188 43.121188,https://twitter.com/DavidAnthonyEm1/status/1469025925085941765,DavidAnthony Emilo,NA,"stroke survivor,epileptic,Progressive. Equality \ acceptance and kindness for all",NA,FALSE,834,1996,0,4080,4321,2021-07-19T22:30:37Z,FALSE,NA,NA,NA,NA,NA,http://pbs.twimg.com/profile_images/1448951911852482560/tWPhHcap_normal.jpg,soda,"c(-76.1288105, 43.052607)",New York,Northeast
x538702482,x1468717649785929732,2021-12-08T23:02:29Z,Jeffrey_Zabe,@GizmosSpace Soda in general but Coke or Pepsi if ordering at a restaurant.,Twitter for Android,62,x1468619306397167618,x904501394,GizmosSpace,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x904501394,GizmosSpace,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json,Pennsylvania,"Pennsylvania, USA",admin,United States,US,"NA NA","NA NA",-80.519851 -74.689517 -74.689517 -80.519851 39.719801 39.719801 42.516072 42.516072,https://twitter.com/Jeffrey_Zabe/status/1468717649785929732,Just Jeff 💉💉💉 🏳️‍🌈,Palmer Township PA USA,Charming introvert | Dog lover & adopter 🐾 🐶| Partnered 👬  | Lover of British TV 🇬🇧 | #Gay | #LGBTQ | #AdoptDontShop | He/Him,NA,FALSE,1114,586,42,15508,12808,2012-03-28T01:15:53Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/538702482/1544882519,http://abs.twimg.com/images/themes/theme13/bg.gif,http://pbs.twimg.com/profile_images/1463601891347206153/7FURLpQs_normal.jpg,soda,"c(-77.604684, 41.1179365)",Pennsylvania,Northeast
x538702482,x1469022888971968513,2021-12-09T19:15:24Z,Jeffrey_Zabe,"@GizmosSpace Soda in general.
Coke or Pepsi when at a restaurant",Twitter for Android,51,x1468619306397167618,x904501394,GizmosSpace,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x904501394,GizmosSpace,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json,Pennsylvania,"Pennsylvania, USA",admin,United States,US,"NA NA","NA NA",-80.519851 -74.689517 -74.689517 -80.519851 39.719801 39.719801 42.516072 42.516072,https://twitter.com/Jeffrey_Zabe/status/1469022888971968513,Just Jeff 💉💉💉 🏳️‍🌈,Palmer Township PA USA,Charming introvert | Dog lover & adopter 🐾 🐶| Partnered 👬  | Lover of British TV 🇬🇧 | #Gay | #LGBTQ | #AdoptDontShop | He/Him,NA,FALSE,1114,586,42,15508,12808,2012-03-28T01:15:53Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/538702482/1544882519,http://abs.twimg.com/images/themes/theme13/bg.gif,http://pbs.twimg.com/profile_images/1463601891347206153/7FURLpQs_normal.jpg,soda,"c(-77.604684, 41.1179365)",Pennsylvania,Northeast
x89506217,x1469021369287520258,2021-12-09T19:09:22Z,Raidger4,Crushing Pepsi cans is soda pressing,Twitter for iPhone,36,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/6ffcf3b0b904bbcb.json,Kentucky,"Kentucky, USA",admin,United States,US,"NA NA","NA NA",-89.57151 -81.964971 -81.964971 -89.57151 36.497129 36.497129 39.147359 39.147359,https://twitter.com/Raidger4/status/1469021369287520258,Daniel,951,"Truck Driver, sports fan. Probably the only @Rangers @Raiders @Suns @ArizonaCoyotes fan on the planet. 8/22/19 @beckylynchwwe broke my heart.",NA,FALSE,721,1396,41,159255,27017,2009-11-12T18:26:45Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/89506217/1626843127,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/1444375200955568141/b4AYNmlE_normal.jpg,soda,"c(-85.7682405, 37.822244)",Kentucky,South
